;;;;;;USA/CANADA;;;;;;;;OTHERS;;UK;;;;;;;;;;SPAIN;;FRANCE;;;;;;;;;;;;;;;Autres EUR;;;AMLAT;;;ASIA;ASIA;ASIA;;
Pays;Domaine ou Marque;Couleur;Nom du vin;Millésime;Available;Wine Spectator;Wine Enthusiast;Wine Advocate;Wine & Spirits;Vinous;James Suckling;Wine Align;Jeb Dunnuck;Miquel Hudin;TASTED Andreas Larson;Decanter;IWC;IWSC;Tim Atkin;Jancis Robinson;Wine Merchant Magazine;Wine Anorak;Harpers;Sommelier Edit Awards (Via CIVR);Drinks Business;Gourmets;Guia Penin;RVF;Le Point;Terre de Vins;Anivin;Mondial Grenache;Mondial SB;Gilbert & Gaillard;Sud-Ouest;Concours de Bruxelles;Académie des Vins et de la Gastronomie;Concours Général Agricole de Paris;Concours IGP;Bettane & Desseauve;PARIS INTERNATIONAL TROPHY;GILBERT & GAILLARD (gold entre 87 et 89 / dble gold à partir 90);Falstaff;Yves Beck;Mundus vini;Descorchados;Vinomanos;la CAV;Tatler HK;Jeannie Cho Lee MW;Sakura Wine Awards;RECAP EMAIL;date_ajout
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2018;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2019;;;82;;;;93;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2020;;86;;;;;91;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2021;;;;;;;89;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2022;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2023;;;;;;86;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89JS;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Cabernet Sauvignon;2024;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93JS;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2018;;;83;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2019;;87;87;;;;92;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92JS;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2020;;84;;;;90;92;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92JS ; 90V ; 88TA";
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2021;;;;;;;91;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91JS ; 90TA";
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2022;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91JS;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2023;;;;;;88;91;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91TA ; 91JS";
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2024;;;89;;;90;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89TA;
Argentine;Bodega Piedra Negra ;Rouge ;Alta Coleccion - Malbec;2025;x;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;92 - Double Gold;;;;;;;;;;;;91;;;;;;92 G&G;
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2019;;;86;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2020;;;;;;88;91;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2021;;;;;;88-90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2022;;;;;TOP 100 VALUE WINES -91;89;91;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;89;;;;;;"TOP 100 W&S ; 89V ; 91JS ; 89TA ; 89D";
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2023;;;;;;89;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;;;;;;"90JS ; 89V ; 89D";
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2024;;;88 Best buy;;;89;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Pinot Gris;2025;x;;;;;90;90;;;;;;;;90;;;;;;;;;;;;;;;90 - Double Gold;;;;;;;;;;;;89;;;;;;"90TA ; 90 Vinous ; 90 Double Gold ; G&G ; 90JS";
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2019;;;85;;;;91;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2020;;;;;;89;91;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2021;;;BEST BUY -89;;;89-90;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"89WE ""BEST BUY"" ; 90V ; 92JS";
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2022;;;BEST BUY -89;;;91;92;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;"89WE ""BEST BUY"" ; 91V ; 92JS ; 90TA ; 90D";
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2023;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;"91JS ; 90D";
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2024;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Alta Coleccion - Pinot Gris Rosado;2025;x;;;;;91;90;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;"91 Vinous ; 88TA";
Argentine;Bodega Piedra Negra ;Blanc ;Alta Coleccion - Torrontes;2017;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90JS;
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Cabernet Franc;2022;;;;91;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Cabernet Franc;2023;;;;;;91;90;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Cabernet Franc;2024;x;;;;;91;92;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92JS ; 91TA ; 91V";
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Jackot;2018;;;;;;;92;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Jackot;2020;X;;;90;;90;91;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;"92TA ; 92D ; 91JS ; 90V ; 90WA";
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Jackot;2021;X;;;;;;91;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 91JS";
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Jackot;2022;;;;90;;93;93;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;"90WA ; 93V ; 93JS ; 90DECANTER ; 93D";
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Jackot;2023;;;;;;92;92;;;;;;;;91;16;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;"92V ; 92JS; 91TA ; 16JR; 90D";
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Malbec SSO2;2019;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Malbec SSO2;2020;;;;91;;90;93;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;90;91;;;;;"91WA ; 90V ; 93JS ; 90TA ; 90D ; 91VINO";
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Malbec SSO2;2021;;;;;;;91;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91JS ; 89TA";
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Malbec SSO2;2022;;;;90+;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;"91D ; 91V ; 90+ WA";
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Malbec SSO2;2024;x;;;;;91;93;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91TA;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Naranjo;2021;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Naranjo;2022;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande - Naranjo;2023;;;91;;;91;91;;;;;;;;93;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 91JS ; 91V";20/05/2026
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande Sauvignon Blanc;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande Sauvignon Blanc;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Arroyo Grande - Criolla;2025;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90 - Double Gold;;;;;;;;;;;;;;;;;;90 G&G;
Argentine;Bodega Piedra Negra ;Rouge ;Cabernet Franc Reserve;2019;;;;;;90;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Cabernet Franc Reserve;2023;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2002;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2006;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2007;;;93;88;;91;90;;;;;;;;;16,5;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2008;;;92;88;;91+;92;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2012;;;;93;;;93-94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2013;;90;93;94;;;94;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2014;;93;91;93;;;97;;;;;90;;;95;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2015;;96 - Top 8 World 2020;;92;;91;97;;;;;;;;93;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2017;;94;;93+;;93;98;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;95;93;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2018;;93;92;91;90;;95;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;"93WS ; 92WE ; 91WA ; 90W&S ; 95JS ; 94TA";
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2019;x;94;;92;;93;94;;;;;;;;94;;;;;;;;;;;;;;;98 - Double Gold;;;;;;;;;;;;95;;;;;;"94WS ; 92WA ; 93V ; 93JS ; 94TA ; 95D ; 98G&G";
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2021;x;;94;;;94;95;;;;;;;;94;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Chacayes;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96 - Ranking Mejores Los Chacayes;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Chardonnay Reserve;2020;X;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Chardonnay Reserve;2021;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2007;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2015;;;;90;;;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2016;;;;;;88;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2017;;;;;;90;92;;;;;95;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2018;;;;;;93;;;;;;88;;;95;16;;91;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2019;;;;;;92;95;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2020;;;;;;93;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2021;;;90;92;;94;94 - TOP 100;;;;;;;;95 - Best white blend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WE ; 92WA ; 94V ; 94JS (Top 100); 95TA (Best white Blend)";
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2022;x;;;91;;93;94 - TOP 100 N°49, wines of Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"91WA ; 93V ; 94JS (TOP 100 n°49 - wines of Argentina) ; 94D";
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2023;x;;"94 
(Hidden Gem)";;;;93;;;;;;;;96 - Best white blend;17+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96TA (Best White Blend) ; 17+JR ; 93JS";
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2024;;;;;;95;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;94 - Ranking Mejores blends Blancos;;;;;;"96TA ; 96 JS ; 94D + Mejores blends blancos ; 95Vinous";
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2019;;;;;;;92;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2022;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Gran Lurton Rosado;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;REVELACION 93;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2013;;;;88;;;95;89;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2015;;88;;89;;88;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2016;;;;91;;92;94;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2017;x;;;90;;92;94;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WA ; 92V ; 94JS ; 92TA ; 94 Descorchados";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2018;x;;90;91;;;95;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"90WE ; 91WA ; 92TA ; 94D ; 95JS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2019;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93TA;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2020;x;;;;;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93JS;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2022;x;;;;;94;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 92JS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2024;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95 - Double Gold;;;;;;;;;;;;;;;;;;95 G&G;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2002;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2009;;;91;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2011;;91;90;;;;89;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2012;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2013;;88;;92;;;92;;;;;87;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2014;;;;92+;;;94;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2015;;91;91;;;93;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2016;;;;;;92+;94;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2017;;87;93;;;92;97;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2018;;91;;;;;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;"95D ; 93JS ; 93TA ; 91WS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2020;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93JS;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2021;x;;;;;91;91;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;"91JS ; 94TA ; 95D ; 91V";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2023;x;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2016;;90;;;;;93;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2017;;88;88;;;91;92;;;;;;;;93;;;93;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2018;;;;;;;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2019;;92;;92;;94;95;;;;;95;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;93;95;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2020;;88;;91;91;94;94;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;96;93;;;;;"96D; 94V ; 94JS ; 93VINO ; 91TA ; 91WA ; 91W&S ; 88WS";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2021;;;;;;92;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 92JS ; 92V";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2022;x;;;92;;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"94D ; 93JS ; 92 WA";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2023;x;;93;;;93;91;;;;;;;;92;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"94D ; 93V ; 91JS ; 92TA ; 17,5JR ; 93WE";
